"Variable Name","Role","Type","Demographic","Description","Units","Missing Values"
"age","Feature","Integer","","Age","years","no"
"job","Feature","Categorical","Occupation","Type of job (categorical: 'admin.', 'blue-collar', 'entrepreneur', 'housemaid', 'management', 'retired', 'self-employed', 'services', 'student', 'technician', 'unemployed', 'unknown')","","no"
"marital","Feature","Categorical","Marital Status","Marital status (categorical: 'divorced', 'married', 'single', 'unknown'; note: 'divorced' means divorced or widowed)","","no"
"education","Feature","Categorical","Education Level","Education level (categorical: 'basic.4y', 'basic.6y', 'basic.9y', 'high.school', 'illiterate', 'professional.course', 'university.degree', 'unknown')","","no"
"default","Feature","Binary","","Has credit in default? (binary: 'yes', 'no')","","no"
"balance","Feature","Integer","","Average yearly balance (numeric)","euros","no"
"housing","Feature","Binary","","Has housing loan? (binary: 'yes', 'no')","","no"
"loan","Feature","Binary","","Has personal loan? (binary: 'yes', 'no')","","no"
"contact","Feature","Categorical","","Contact communication type (categorical: 'cellular', 'telephone')","","yes"
"day_of_week","Feature","Date","","Last contact day of the week (categorical: 'mon', 'tue', 'wed', 'thu', 'fri')","","no"
"month","Feature","Date","","Last contact month of the year (categorical: 'jan', 'feb', 'mar', ..., 'nov', 'dec')","","no"
"duration","Feature","Integer","","Last contact duration, in seconds (numeric). Important note: this attribute highly affects the output target (e.g., if duration=0 then y='no'). It should only be included for benchmark purposes.","seconds","no"
"campaign","Feature","Integer","","Number of contacts performed during this campaign and for this client (numeric, includes last contact)","","no"
"pdays","Feature","Integer","","Number of days that passed by after the client was last contacted from a previous campaign (numeric; -1 means client was not previously contacted)","days","yes"
"previous","Feature","Integer","","Number of contacts performed before this campaign and for this client","","no"
"poutcome","Feature","Categorical","","Outcome of the previous marketing campaign (categorical: 'failure', 'nonexistent', 'success')","","yes"
"y","Target","Binary","","Has the client subscribed to a term deposit? (binary: 'yes', 'no')","","no"
